"Year","Number of applications","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2006","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","0.974","5"
"2007","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001","10"
"2008","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","1","10"
"2009","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","55","55","0.981","15"
"2010","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","15"
"2011","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.85","5"
"2012","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9","5"
"2013","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.968","0"
"2014","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","0.923","5"
"2015","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.905","5"
"2016","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2017","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.848","5"
"2018","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","40","1","0"
"2019","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.882","0"
"2020","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001","5"
"2021","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.921","0"
"2022","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","75","65","0.878","5"
"2023","Other","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","75","70","0.895","5"
"2006","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.966","5"
"2007","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","1","5"
"2008","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.967","10"
"2009","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.969","5"
"2010","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","10"
"2011","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2012","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2013","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2014","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2015","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","5"
"2017","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2018","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.85","0"
"2019","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.969","0"
"2020","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.882","5"
"2021","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.8280000000000001","0"
"2022","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.893","10"
"2023","Other","20","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","40","35","0.846","5"
"2006","Other","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001","10"
