"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","England","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Northern Ireland","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","England","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","18","England","Female","Not main scheme applicant","Not main scheme application","45","40","0.8300000000000001"
"2020","England","18","England","Female","Not main scheme applicant","Not main scheme application","80","75","0.902"
"2021","England","18","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.788"
"2022","England","18","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.722"
"2023","England","18","England","Female","Not main scheme applicant","Not main scheme application","65","55","0.833"
"2019","England","19","England","Female","Not main scheme applicant","Not main scheme application","140","130","0.914"
"2020","England","19","England","Female","Not main scheme applicant","Not main scheme application","150","130","0.872"
"2021","England","19","England","Female","Not main scheme applicant","Not main scheme application","100","85","0.878"
"2022","England","19","England","Female","Not main scheme applicant","Not main scheme application","150","115","0.78"
"2023","England","19","England","Female","Not main scheme applicant","Not main scheme application","200","175","0.865"
"2023","Scotland","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","20","England","Female","Not main scheme applicant","Not main scheme application","90","75","0.8240000000000001"
"2020","England","20","England","Female","Not main scheme applicant","Not main scheme application","115","95","0.8210000000000001"
"2021","England","20","England","Female","Not main scheme applicant","Not main scheme application","80","60","0.744"
"2022","England","20","England","Female","Not main scheme applicant","Not main scheme application","125","100","0.798"
"2023","England","20","England","Female","Not main scheme applicant","Not main scheme application","180","140","0.798"
"2023","Wales","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","370","335","0.903"
"2020","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","465","395","0.849"
"2021","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","210","170","0.8130000000000001"
"2022","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","330","255","0.78"
"2023","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","390","315","0.807"
"2021","Wales","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Wales","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","300","250","0.8300000000000001"
"2020","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","455","380","0.8270000000000001"
"2021","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","270","230","0.856"
"2022","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","310","240","0.777"
"2023","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","325","255","0.79"
"2019","Wales","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","225","195","0.854"
"2020","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","350","285","0.8220000000000001"
"2021","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","200","160","0.8"
"2022","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","220","165","0.748"
"2023","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","305","250","0.8160000000000001"
"2019","Wales","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","560","465","0.835"
"2020","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","810","620","0.769"
"2021","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","525","415","0.791"
"2022","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","605","455","0.75"
"2023","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","790","615","0.777"
"2019","Wales","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Scotland","17 and under","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
