"Year","Ethnic group","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","White","Not deferred","74965","32565","0.434"
"2020","White","Not deferred","82090","37490","0.457"
"2021","White","Not deferred","102675","46600","0.454"
"2022","White","Not deferred","89135","39120","0.439"
"2023","White","Not deferred","63960","30245","0.47300000000000003"
"2019","Black","Not deferred","30015","9435","0.314"
"2020","Black","Not deferred","36795","13665","0.371"
"2021","Black","Not deferred","41340","13020","0.315"
"2022","Black","Not deferred","43135","12690","0.294"
"2023","Black","Not deferred","42465","14205","0.335"
"2019","Asian","Not deferred","12045","4700","0.39"
"2020","Asian","Not deferred","13555","5785","0.427"
"2021","Asian","Not deferred","15875","6450","0.406"
"2022","Asian","Not deferred","16260","6140","0.378"
"2023","Asian","Not deferred","13785","6010","0.436"
"2019","Mixed","Not deferred","3365","1310","0.39"
"2020","Mixed","Not deferred","4155","1800","0.433"
"2021","Mixed","Not deferred","5195","2225","0.428"
"2022","Mixed","Not deferred","5035","1980","0.393"
"2023","Mixed","Not deferred","4160","1820","0.437"
"2019","Other","Not deferred","1590","545","0.34400000000000003"
"2020","Other","Not deferred","1770","695","0.394"
"2021","Other","Not deferred","2135","765","0.359"
"2022","Other","Not deferred","2250","805","0.359"
"2023","Other","Not deferred","2235","880","0.395"
"2019","Unknown or Prefer Not To Say","Not deferred","775","255","0.33"
"2020","Unknown or Prefer Not To Say","Not deferred","975","380","0.391"
"2021","Unknown or Prefer Not To Say","Not deferred","1175","395","0.334"
"2022","Unknown or Prefer Not To Say","Not deferred","1175","360","0.305"
"2023","Unknown or Prefer Not To Say","Not deferred","1060","365","0.34400000000000003"
"2019","White","Deferred","2030","1185","0.583"
"2020","White","Deferred","2170","1230","0.5670000000000001"
"2021","White","Deferred","2875","1700","0.592"
"2022","White","Deferred","2285","1135","0.496"
"2023","White","Deferred","1780","960","0.54"
"2019","Black","Deferred","625","285","0.456"
"2020","Black","Deferred","910","555","0.609"
"2021","Black","Deferred","1105","785","0.709"
"2022","Black","Deferred","1000","495","0.495"
"2023","Black","Deferred","1060","560","0.529"
"2019","Asian","Deferred","165","75","0.442"
"2020","Asian","Deferred","235","135","0.5660000000000001"
"2021","Asian","Deferred","400","265","0.665"
"2022","Asian","Deferred","285","110","0.389"
"2023","Asian","Deferred","240","115","0.488"
"2019","Mixed","Deferred","125","50","0.40800000000000003"
"2020","Mixed","Deferred","135","80","0.578"
"2021","Mixed","Deferred","170","105","0.629"
"2022","Mixed","Deferred","160","80","0.506"
"2023","Mixed","Deferred","165","65","0.382"
"2019","Other","Deferred","20","10","0.55"
"2020","Other","Deferred","40","25","0.5750000000000001"
"2021","Other","Deferred","50","35","0.7000000000000001"
"2022","Other","Deferred","50","20","0.38"
"2023","Other","Deferred","40","15","0.35000000000000003"
"2019","Unknown or Prefer Not To Say","Deferred","15","5"," "
"2020","Unknown or Prefer Not To Say","Deferred","35","20","0.629"
"2021","Unknown or Prefer Not To Say","Deferred","30","20","0.633"
"2022","Unknown or Prefer Not To Say","Deferred","30","15","0.433"
"2023","Unknown or Prefer Not To Say","Deferred","30","15","0.5"
"2019","All","Not deferred","122755","48815","0.398"
"2020","All","Not deferred","139345","59815","0.429"
"2021","All","Not deferred","168385","69455","0.41200000000000003"
"2022","All","Not deferred","156995","61095","0.389"
"2023","All","Not deferred","127665","53525","0.419"
"2019","All","Deferred","2985","1610","0.54"
"2020","All","Deferred","3525","2040","0.579"
"2021","All","Deferred","4625","2910","0.629"
"2022","All","Deferred","3805","1855","0.487"
"2023","All","Deferred","3310","1730","0.523"
"2019","White","All","77000","33745","0.438"
"2020","White","All","84260","38720","0.46"
"2021","White","All","105545","48300","0.458"
"2022","White","All","91420","40250","0.44"
"2023","White","All","65740","31205","0.47500000000000003"
"2019","Black","All","30640","9720","0.317"
"2020","Black","All","37710","14220","0.377"
"2021","Black","All","42440","13800","0.325"
"2022","Black","All","44135","13185","0.299"
"2023","Black","All","43525","14770","0.339"
"2019","Asian","All","12215","4775","0.391"
"2020","Asian","All","13790","5920","0.429"
"2021","Asian","All","16270","6715","0.41300000000000003"
"2022","Asian","All","16550","6250","0.378"
"2023","Asian","All","14020","6125","0.437"
"2019","Mixed","All","3490","1360","0.39"
"2020","Mixed","All","4290","1880","0.438"
"2021","Mixed","All","5365","2335","0.435"
"2022","Mixed","All","5195","2060","0.397"
"2023","Mixed","All","4325","1880","0.435"
"2019","Other","All","1615","560","0.34600000000000003"
"2020","Other","All","1810","720","0.398"
"2021","Other","All","2185","800","0.367"
"2022","Other","All","2295","825","0.36"
"2023","Other","All","2275","895","0.394"
"2019","Unknown or Prefer Not To Say","All","790","265","0.333"
"2020","Unknown or Prefer Not To Say","All","1010","405","0.399"
"2021","Unknown or Prefer Not To Say","All","1200","410","0.343"
"2022","Unknown or Prefer Not To Say","All","1205","370","0.308"
"2023","Unknown or Prefer Not To Say","All","1090","380","0.34900000000000003"
"2019","All","All","125745","50425","0.401"
"2020","All","All","142870","61855","0.433"
"2021","All","All","173010","72365","0.418"
"2022","All","All","160800","62945","0.391"
"2023","All","All","130975","55260","0.422"
