"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Lower tariff","17 and under","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.8280000000000001"
"2020","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.885"
"2021","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.75"
"2022","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.6920000000000001"
"2023","Lower tariff","18","England","Female","Not main scheme applicant","Not main scheme application","45","35","0.8180000000000001"
"2019","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.857"
"2020","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.963"
"2021","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.857"
"2019","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","85","75","0.893"
"2020","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","100","85","0.842"
"2021","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","75","65","0.853"
"2022","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","100","80","0.772"
"2023","Lower tariff","19","England","Female","Not main scheme applicant","Not main scheme application","130","110","0.84"
"2019","Higher tariff","19","England","Female","Not main scheme applicant","Not main scheme application","20","20","1"
"2020","Higher tariff","19","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917"
"2021","Higher tariff","19","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
