"Year","Tariff group of provider","Deferred entry","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Lower tariff","Not deferred","63390","25040","0.395"
"2020","Lower tariff","Not deferred","74060","33045","0.446"
"2021","Lower tariff","Not deferred","90120","39310","0.436"
"2022","Lower tariff","Not deferred","88315","34765","0.394"
"2023","Lower tariff","Not deferred","74655","30655","0.41100000000000003"
"2019","Higher tariff","Not deferred","21600","7125","0.33"
"2020","Higher tariff","Not deferred","24880","8130","0.327"
"2021","Higher tariff","Not deferred","30040","8675","0.289"
"2022","Higher tariff","Not deferred","28210","7960","0.28200000000000003"
"2023","Higher tariff","Not deferred","22375","6795","0.304"
"2019","Medium tariff","Not deferred","44245","18290","0.41300000000000003"
"2020","Medium tariff","Not deferred","48370","20765","0.429"
"2021","Medium tariff","Not deferred","59325","23725","0.4"
"2022","Medium tariff","Not deferred","55075","20790","0.377"
"2023","Medium tariff","Not deferred","44215","18715","0.423"
"2019","Lower tariff","Deferred","1345","740","0.551"
"2020","Lower tariff","Deferred","1810","1175","0.649"
"2021","Lower tariff","Deferred","2490","1840","0.74"
"2022","Lower tariff","Deferred","1995","1060","0.53"
"2023","Lower tariff","Deferred","1635","970","0.592"
"2019","Higher tariff","Deferred","730","340","0.467"
"2020","Higher tariff","Deferred","760","365","0.47900000000000004"
"2021","Higher tariff","Deferred","965","460","0.47800000000000004"
"2022","Higher tariff","Deferred","820","310","0.377"
"2023","Higher tariff","Deferred","740","285","0.386"
"2019","Medium tariff","Deferred","1050","580","0.554"
"2020","Medium tariff","Deferred","1170","600","0.514"
"2021","Medium tariff","Deferred","1355","710","0.523"
"2022","Medium tariff","Deferred","1260","550","0.437"
"2023","Medium tariff","Deferred","1115","545","0.489"
"2019","All","Not deferred","129230","50460","0.39"
"2020","All","Not deferred","147310","61940","0.42"
"2021","All","Not deferred","179485","71710","0.4"
"2022","All","Not deferred","171600","63515","0.37"
"2023","All","Not deferred","141240","56170","0.398"
"2019","All","Deferred","3125","1665","0.532"
"2020","All","Deferred","3735","2140","0.5730000000000001"
"2021","All","Deferred","4810","3010","0.626"
"2022","All","Deferred","4080","1920","0.47000000000000003"
"2023","All","Deferred","3485","1800","0.516"
"2019","Lower tariff","All","64735","25785","0.398"
"2020","Lower tariff","All","75870","34220","0.451"
"2021","Lower tariff","All","92615","41155","0.444"
"2022","Lower tariff","All","90310","35825","0.397"
"2023","Lower tariff","All","76290","31625","0.41500000000000004"
"2019","Higher tariff","All","22330","7470","0.334"
"2020","Higher tariff","All","25640","8495","0.331"
"2021","Higher tariff","All","31000","9135","0.295"
"2022","Higher tariff","All","29030","8270","0.28500000000000003"
"2023","Higher tariff","All","23110","7085","0.306"
"2019","Medium tariff","All","45295","18870","0.417"
"2020","Medium tariff","All","49540","21365","0.431"
"2021","Medium tariff","All","60680","24435","0.403"
"2022","Medium tariff","All","56340","21340","0.379"
"2023","Medium tariff","All","45330","19260","0.425"
"2019","All","All","132355","52125","0.394"
"2020","All","All","151050","64080","0.424"
"2021","All","All","184295","74725","0.405"
"2022","All","All","175680","65435","0.372"
"2023","All","All","144725","57970","0.401"
