"Year","POLAR4 Quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2006","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2500","0"
"2006","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1610","0"
"2006","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2220","0.001"
"2006","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","2980","0.003"
"2006","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3850","0"
"2007","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2410","0.001"
"2007","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1540","0.001"
"2007","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2007","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2910","0.001"
"2007","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3730","0.001"
"2008","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2390","0"
"2008","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1540","0"
"2008","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2190","0"
"2008","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2920","0.001"
"2008","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3710","0.001"
"2009","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2360","0"
"2009","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1530","0"
"2009","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2180","0"
"2009","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2920","0.001"
"2009","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3680","0"
"2010","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2310","0"
"2010","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1510","0.001"
"2010","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2010","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2890","0"
"2010","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3570","0"
"2011","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2290","0"
"2011","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1490","0"
"2011","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2170","0"
"2011","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2870","0.001"
"2011","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3510","0.001"
"2012","Quintile 1","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2300","0"
"2012","Quintile 2","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","1510","0.001"
"2012","Quintile 3","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2200","0.001"
"2012","Quintile 4","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","2890","0.001"
"2012","Quintile 5","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","0","3500","0.001"
