"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2021","3 point(s)","18","England","Female","0","0","0","0","0","5","0","5"
"2018","4 point(s)","18","England","Female","0","0","0","5","0","0","0","5"
"2020","4 point(s)","18","England","Female","0","5","5","10","0","5","5","10"
"2014","5 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2016","5 point(s)","18","England","Female","0","0","5","5","0","0","5","5"
"2017","5 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2018","5 point(s)","18","England","Female","0","0","5","5","0","5","5","10"
"2019","5 point(s)","18","England","Female","0","5","0","10","5","5","0","10"
"2020","5 point(s)","18","England","Female","0","5","15","15","0","5","15","15"
"2021","5 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2022","5 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2023","5 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2013","6 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2014","6 point(s)","18","England","Female","0","5","0","5","0","5","0","5"
"2015","6 point(s)","18","England","Female","0","0","5","5","0","0","5","5"
"2016","6 point(s)","18","England","Female","0","5","5","10","0","5","5","10"
"2017","6 point(s)","18","England","Female","5","5","5","10","5","5","5","10"
"2018","6 point(s)","18","England","Female","10","5","5","20","10","10","5","20"
"2019","6 point(s)","18","England","Female","10","10","10","30","10","10","10","30"
"2020","6 point(s)","18","England","Female","5","10","50","60","5","15","55","70"
"2020","6 point(s)","18","Wales","Female","0","0","0","0","0","0","5","5"
"2021","6 point(s)","18","England","Female","0","25","5","30","0","30","5","35"
"2022","6 point(s)","18","England","Female","0","25","0","25","0","30","0","30"
"2023","6 point(s)","18","England","Female","0","5","5","10","0","10","5","10"
"2013","7 point(s)","18","England","Female","0","10","5","15","0","10","5","15"
"2014","7 point(s)","18","England","Female","0","15","0","20","0","20","0","20"
"2015","7 point(s)","18","England","Female","0","10","10","25","0","10","10","25"
"2016","7 point(s)","18","England","Female","5","15","10","30","5","15","10","30"
"2016","7 point(s)","18","Wales","Female","0","0","5","5","0","0","5","5"
"2017","7 point(s)","18","England","Female","10","15","10","35","10","20","15","40"
"2018","7 point(s)","18","England","Female","15","30","20","60","15","30","20","65"
"2019","7 point(s)","18","England","Female","20","20","25","60","20","20","25","65"
"2020","7 point(s)","18","England","Female","10","35","90","125","10","35","110","155"
"2020","7 point(s)","18","Wales","Female","0","0","10","10","0","0","10","15"
"2021","7 point(s)","18","England","Female","0","30","5","35","0","30","5","35"
"2021","7 point(s)","18","Wales","Female","0","5","0","5","0","5","0","5"
"2022","7 point(s)","18","England","Female","0","60","10","65","0","65","10","75"
"2022","7 point(s)","18","Wales","Female","0","0","0","5","0","0","0","5"
"2023","7 point(s)","18","England","Female","0","20","10","25","0","25","10","30"
"2013","8 point(s)","18","England","Female","0","10","5","15","0","10","5","15"
"2014","8 point(s)","18","England","Female","0","20","10","25","0","20","10","25"
"2015","8 point(s)","18","England","Female","5","30","15","45","5","30","15","50"
"2016","8 point(s)","18","England","Female","15","40","35","85","15","45","35","95"
"2016","8 point(s)","18","Wales","Female","0","5","5","5","0","5","5","5"
"2017","8 point(s)","18","England","Female","20","40","50","95","20","40","50","110"
"2018","8 point(s)","18","England","Female","35","70","55","150","35","80","55","165"
"2019","8 point(s)","18","England","Female","45","55","60","155","50","65","60","175"
"2019","8 point(s)","18","Wales","Female","0","5","0","5","0","5","0","10"
"2020","8 point(s)","18","England","Female","35","70","245","330","35","70","290","395"
"2020","8 point(s)","18","Wales","Female","0","5","15","15","0","5","15","20"
"2021","8 point(s)","18","England","Female","0","80","15","90","0","90","15","100"
"2021","8 point(s)","18","Wales","Female","0","5","0","5","0","5","0","5"
"2022","8 point(s)","18","England","Female","5","105","25","135","5","120","25","150"
"2022","8 point(s)","18","Wales","Female","0","0","0","5","0","0","0","5"
"2023","8 point(s)","18","England","Female","0","45","30","70","0","50","35","85"
"2013","9 point(s)","18","England","Female","0","15","5","20","0","15","5","20"
"2014","9 point(s)","18","England","Female","0","25","15","45","0","25","15","45"
"2014","9 point(s)","18","Wales","Female","0","0","5","10","0","0","10","10"
"2015","9 point(s)","18","England","Female","10","50","65","125","10","55","65","130"
"2015","9 point(s)","18","Wales","Female","0","0","5","10","0","0","5","10"
"2016","9 point(s)","18","England","Female","90","200","120","390","95","215","125","435"
"2016","9 point(s)","18","Wales","Female","0","5","5","10","0","5","5","10"
"2017","9 point(s)","18","England","Female","100","150","225","455","105","160","225","495"
"2017","9 point(s)","18","Wales","Female","5","5","15","20","5","5","15","25"
"2018","9 point(s)","18","England","Female","155","325","275","700","165","370","275","810"
"2018","9 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2018","9 point(s)","18","Wales","Female","5","10","10","20","5","10","10","25"
"2019","9 point(s)","18","England","Female","395","180","270","755","425","195","275","900"
"2019","9 point(s)","18","Northern Ireland","Female","0","0","0","5","0","0","0","5"
"2019","9 point(s)","18","Wales","Female","5","10","10","25","5","15","10","30"
"2020","9 point(s)","18","England","Female","365","310","655","1160","420","355","760","1540"
"2020","9 point(s)","18","Northern Ireland","Female","0","0","10","10","0","0","15","20"
"2020","9 point(s)","18","Wales","Female","5","20","35","50","5","20","40","70"
"2021","9 point(s)","18","England","Female","0","230","65","285","0","275","65","340"
"2021","9 point(s)","18","Wales","Female","0","20","5","25","0","25","5","30"
"2022","9 point(s)","18","England","Female","20","255","85","335","20","300","85","405"
"2022","9 point(s)","18","Wales","Female","0","20","10","25","0","30","10","40"
"2023","9 point(s)","18","England","Female","0","205","85","280","0","235","85","320"
"2023","9 point(s)","18","Wales","Female","0","0","0","5","0","0","0","5"
"2013","10 point(s)","18","England","Female","0","30","15","45","0","30","15","45"
"2013","10 point(s)","18","Wales","Female","0","5","0","5","0","5","0","5"
"2014","10 point(s)","18","England","Female","5","45","20","70","5","50","20","75"
"2014","10 point(s)","18","Wales","Female","0","0","10","10","0","0","10","10"
"2015","10 point(s)","18","England","Female","25","80","105","200","25","80","105","210"
"2015","10 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2015","10 point(s)","18","Wales","Female","0","0","10","15","0","5","10","15"
"2016","10 point(s)","18","England","Female","175","535","130","810","180","560","135","875"
"2016","10 point(s)","18","Northern Ireland","Female","0","0","0","5","0","0","0","5"
"2016","10 point(s)","18","Wales","Female","5","10","10","25","5","15","15","30"
"2017","10 point(s)","18","England","Female","255","445","370","1010","270","475","375","1120"
"2017","10 point(s)","18","Northern Ireland","Female","0","0","5","5","0","0","5","5"
"2017","10 point(s)","18","Wales","Female","5","20","20","45","5","20","25","50"
"2018","10 point(s)","18","England","Female","310","725","700","1555","335","810","710","1860"
"2018","10 point(s)","18","Northern Ireland","Female","0","10","5","15","0","15","5","20"
"2018","10 point(s)","18","Wales","Female","5","25","25","50","5","25","25","60"
"2019","10 point(s)","18","England","Female","825","495","520","1600","945","550","535","2030"
"2019","10 point(s)","18","Northern Ireland","Female","5","0","0","5","5","5","0","10"
"2019","10 point(s)","18","Wales","Female","20","25","15","55","25","30","15","70"
"2020","10 point(s)","18","England","Female","660","765","1040","2095","745","915","1265","2925"
"2020","10 point(s)","18","Northern Ireland","Female","5","5","35","40","5","5","45","55"
"2020","10 point(s)","18","Wales","Female","10","50","70","110","10","65","90","165"
"2021","10 point(s)","18","England","Female","0","410","105","490","0","470","105","575"
"2021","10 point(s)","18","Northern Ireland","Female","0","0","0","0","0","5","0","5"
"2021","10 point(s)","18","Wales","Female","0","45","10","55","0","60","15","75"
"2022","10 point(s)","18","England","Female","40","625","135","785","40","730","140","910"
"2022","10 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2022","10 point(s)","18","Wales","Female","0","25","15","35","0","30","15","40"
"2023","10 point(s)","18","England","Female","0","415","130","530","0","470","140","610"
"2023","10 point(s)","18","Wales","Female","0","10","5","20","0","15","5","25"
"2013","11 point(s)","18","England","Female","0","35","15","50","0","35","15","50"
"2013","11 point(s)","18","Wales","Female","0","5","5","10","0","5","5","10"
"2014","11 point(s)","18","England","Female","10","70","30","110","10","75","30","115"
"2014","11 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2014","11 point(s)","18","Wales","Female","0","5","10","15","0","5","10","15"
"2015","11 point(s)","18","England","Female","70","125","410","595","70","130","410","610"
"2015","11 point(s)","18","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2015","11 point(s)","18","Wales","Female","5","5","20","30","5","5","25","35"
"2016","11 point(s)","18","England","Female","390","845","430","1585","400","900","435","1735"
"2016","11 point(s)","18","Northern Ireland","Female","5","5","0","10","5","5","0","10"
"2016","11 point(s)","18","Wales","Female","5","10","20","35","5","10","25","40"
"2017","11 point(s)","18","England","Female","930","1065","725","2490","995","1175","745","2915"
"2017","11 point(s)","18","Northern Ireland","Female","5","10","15","25","5","10","15","30"
"2017","11 point(s)","18","Wales","Female","15","25","55","90","15","30","65","105"
"2018","11 point(s)","18","England","Female","1605","1335","1090","3425","1850","1530","1105","4485"
"2018","11 point(s)","18","Northern Ireland","Female","10","15","20","45","10","15","20","50"
"2018","11 point(s)","18","Wales","Female","35","40","35","100","35","50","35","120"
"2019","11 point(s)","18","England","Female","2185","1115","825","3430","2770","1315","855","4935"
"2019","11 point(s)","18","Northern Ireland","Female","15","5","5","25","15","10","5","30"
"2019","11 point(s)","18","Wales","Female","45","85","20","125","55","105","20","180"
"2020","11 point(s)","18","England","Female","1110","1935","1650","3770","1245","2425","1945","5615"
"2020","11 point(s)","18","Northern Ireland","Female","5","20","55","65","5","20","70","95"
"2020","11 point(s)","18","Wales","Female","15","90","100","170","15","120","140","275"
"2021","11 point(s)","18","England","Female","0","1000","210","1165","0","1175","215","1385"
"2021","11 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2021","11 point(s)","18","Wales","Female","0","90","15","95","0","115","15","135"
"2022","11 point(s)","18","England","Female","95","1415","260","1685","100","1730","270","2100"
"2022","11 point(s)","18","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2022","11 point(s)","18","Wales","Female","0","45","15","55","0","50","15","65"
"2023","11 point(s)","18","England","Female","0","945","240","1130","0","1070","255","1325"
"2023","11 point(s)","18","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2023","11 point(s)","18","Wales","Female","0","20","10","25","0","30","10","35"
"2013","12 point(s)","18","England","Female","0","55","35","90","0","55","35","90"
"2013","12 point(s)","18","Wales","Female","0","0","10","15","0","0","10","15"
"2014","12 point(s)","18","England","Female","285","70","40","390","300","70","40","405"
"2014","12 point(s)","18","Northern Ireland","Female","0","10","0","10","0","10","0","10"
