"Year","Predicted SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","11 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","11 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","12 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","12 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","12 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","13 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","13 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","13 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","13 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","13 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","13 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","13 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","13 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","14 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","14 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","14 point(s)","White","Main scheme applicant","Not main scheme application","15","10","0.625","0"
"2016","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","14 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","14 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","14 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","15 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","15 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","15 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","15 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","15 point(s)","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","15 point(s)","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","15 point(s)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
