"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2019","N/A","N/A","18","Northern Ireland","Female","5"
"2020","N/A","N/A","18","Northern Ireland","Female","5"
"2022","N/A","N/A","18","Northern Ireland","Female","5"
"2023","N/A","N/A","18","Northern Ireland","Female","10"
"2019","Lower tariff","Lower tariff","18","Northern Ireland","Female","55"
"2020","Lower tariff","Lower tariff","18","Northern Ireland","Female","55"
"2021","Lower tariff","Lower tariff","18","Northern Ireland","Female","65"
"2022","Lower tariff","Lower tariff","18","Northern Ireland","Female","105"
"2023","Lower tariff","Lower tariff","18","Northern Ireland","Female","60"
"2019","Medium tariff","Lower tariff","18","Northern Ireland","Female","25"
"2020","Medium tariff","Lower tariff","18","Northern Ireland","Female","15"
"2021","Medium tariff","Lower tariff","18","Northern Ireland","Female","45"
"2022","Medium tariff","Lower tariff","18","Northern Ireland","Female","50"
"2023","Medium tariff","Lower tariff","18","Northern Ireland","Female","50"
"2019","Higher tariff","Lower tariff","18","Northern Ireland","Female","10"
"2020","Higher tariff","Lower tariff","18","Northern Ireland","Female","5"
"2021","Higher tariff","Lower tariff","18","Northern Ireland","Female","10"
"2022","Higher tariff","Lower tariff","18","Northern Ireland","Female","15"
"2023","Higher tariff","Lower tariff","18","Northern Ireland","Female","10"
"2019","Lower tariff","Medium tariff","18","Northern Ireland","Female","35"
"2020","Lower tariff","Medium tariff","18","Northern Ireland","Female","90"
"2021","Lower tariff","Medium tariff","18","Northern Ireland","Female","30"
"2022","Lower tariff","Medium tariff","18","Northern Ireland","Female","35"
"2023","Lower tariff","Medium tariff","18","Northern Ireland","Female","40"
"2019","Medium tariff","Medium tariff","18","Northern Ireland","Female","10"
"2020","Medium tariff","Medium tariff","18","Northern Ireland","Female","35"
"2021","Medium tariff","Medium tariff","18","Northern Ireland","Female","20"
"2022","Medium tariff","Medium tariff","18","Northern Ireland","Female","20"
"2023","Medium tariff","Medium tariff","18","Northern Ireland","Female","20"
"2019","Higher tariff","Medium tariff","18","Northern Ireland","Female","20"
"2020","Higher tariff","Medium tariff","18","Northern Ireland","Female","15"
"2021","Higher tariff","Medium tariff","18","Northern Ireland","Female","15"
"2022","Higher tariff","Medium tariff","18","Northern Ireland","Female","15"
"2023","Higher tariff","Medium tariff","18","Northern Ireland","Female","20"
"2019","Lower tariff","Higher tariff","18","Northern Ireland","Female","5"
"2020","Lower tariff","Higher tariff","18","Northern Ireland","Female","10"
"2021","Lower tariff","Higher tariff","18","Northern Ireland","Female","5"
"2022","Lower tariff","Higher tariff","18","Northern Ireland","Female","5"
"2023","Lower tariff","Higher tariff","18","Northern Ireland","Female","5"
"2019","Medium tariff","Higher tariff","18","Northern Ireland","Female","15"
"2020","Medium tariff","Higher tariff","18","Northern Ireland","Female","20"
"2021","Medium tariff","Higher tariff","18","Northern Ireland","Female","10"
"2022","Medium tariff","Higher tariff","18","Northern Ireland","Female","10"
"2023","Medium tariff","Higher tariff","18","Northern Ireland","Female","5"
"2019","Higher tariff","Higher tariff","18","Northern Ireland","Female","10"
"2020","Higher tariff","Higher tariff","18","Northern Ireland","Female","20"
"2021","Higher tariff","Higher tariff","18","Northern Ireland","Female","10"
"2022","Higher tariff","Higher tariff","18","Northern Ireland","Female","10"
"2019","Lower tariff","Lower tariff","19","Northern Ireland","Female","15"
"2020","Lower tariff","Lower tariff","19","Northern Ireland","Female","15"
"2021","Lower tariff","Lower tariff","19","Northern Ireland","Female","20"
"2022","Lower tariff","Lower tariff","19","Northern Ireland","Female","10"
"2023","Lower tariff","Lower tariff","19","Northern Ireland","Female","15"
"2019","Medium tariff","Lower tariff","19","Northern Ireland","Female","10"
"2020","Medium tariff","Lower tariff","19","Northern Ireland","Female","5"
"2021","Medium tariff","Lower tariff","19","Northern Ireland","Female","10"
"2022","Medium tariff","Lower tariff","19","Northern Ireland","Female","10"
"2023","Medium tariff","Lower tariff","19","Northern Ireland","Female","5"
"2019","Higher tariff","Lower tariff","19","Northern Ireland","Female","5"
"2020","Higher tariff","Lower tariff","19","Northern Ireland","Female","5"
"2021","Higher tariff","Lower tariff","19","Northern Ireland","Female","5"
"2019","Lower tariff","Medium tariff","19","Northern Ireland","Female","10"
"2020","Lower tariff","Medium tariff","19","Northern Ireland","Female","15"
"2021","Lower tariff","Medium tariff","19","Northern Ireland","Female","5"
"2023","Lower tariff","Medium tariff","19","Northern Ireland","Female","10"
"2019","Medium tariff","Medium tariff","19","Northern Ireland","Female","5"
"2020","Medium tariff","Medium tariff","19","Northern Ireland","Female","5"
"2023","Medium tariff","Medium tariff","19","Northern Ireland","Female","5"
"2019","Higher tariff","Medium tariff","19","Northern Ireland","Female","5"
"2022","Lower tariff","Higher tariff","19","Northern Ireland","Female","5"
"2020","Higher tariff","Higher tariff","19","Northern Ireland","Female","5"
"2021","Higher tariff","Higher tariff","19","Northern Ireland","Female","5"
"2019","Lower tariff","Lower tariff","20","Northern Ireland","Female","5"
"2020","Lower tariff","Lower tariff","20","Northern Ireland","Female","5"
"2021","Lower tariff","Lower tariff","20","Northern Ireland","Female","5"
"2022","Lower tariff","Lower tariff","20","Northern Ireland","Female","5"
"2023","Lower tariff","Lower tariff","20","Northern Ireland","Female","10"
"2020","Medium tariff","Lower tariff","20","Northern Ireland","Female","5"
"2021","Medium tariff","Lower tariff","20","Northern Ireland","Female","5"
"2022","Medium tariff","Lower tariff","20","Northern Ireland","Female","5"
"2021","Higher tariff","Lower tariff","20","Northern Ireland","Female","5"
"2020","Lower tariff","Medium tariff","20","Northern Ireland","Female","5"
"2022","Lower tariff","Medium tariff","20","Northern Ireland","Female","5"
"2019","Lower tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
"2020","Lower tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
"2021","Lower tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
"2022","Lower tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
"2019","Medium tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
"2022","Medium tariff","Lower tariff","21 - 24","Northern Ireland","Female","5"
