"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","A level Only (With extended project)","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2009","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2011","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2012","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","25","20","0.875","5"
"2013","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2014","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2015","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2016","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2017","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","20","15","0.773","0"
"2018","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2019","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","25","25","0.92","0"
"2020","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2021","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","A level Only (Without extended project)","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2011","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2013","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2014","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","20","20","0.9520000000000001","0"
"2015","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","25","25","0.962","0"
"2016","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","30","30","0.933","0"
"2017","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","15","10","0.923","0"
"2018","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2020","BTEC Only","Unknown","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2015","A level & BTEC","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","A level & BTEC","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","A level & BTEC","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","SQA Only","Unknown","Not main scheme applicant","Not main scheme application","5","5"," ","0"
