"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","100","55","0.5700000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","175","80","0.463"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","135","85","0.631"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","20","10","0.542"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Unknown","40","20","0.543"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","35","20","0.562"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","60","30","0.513"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","35","25","0.764"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","5","0"," "
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Unknown","10","0"," "
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","90","65","0.734"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","50","30","0.552"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","60","40","0.657"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","20","15","0.775"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Unknown","15","10","0.7000000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","45","25","0.5630000000000001"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","20","15","0.675"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","25","10","0.434"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Unknown","5","5"," "
