"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","2325","1465","0.629"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","2410","1600","0.663"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","2385","1730","0.725"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","2155","1480","0.687"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","North East","2265","1570","0.6940000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","840","485","0.579"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","885","510","0.578"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","1005","560","0.556"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","1105","625","0.5650000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","North East","1150","590","0.512"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","1075","705","0.655"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","1160","805","0.6950000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","1045","760","0.725"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","1320","910","0.6890000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","North East","1305","910","0.6990000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","575","350","0.611"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","770","440","0.5690000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","695","425","0.614"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","815","455","0.56"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","North East","765","425","0.557"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","725","300","0.41100000000000003"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","680","320","0.467"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","North East","820","350","0.428"
