"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","17 and under","Northern Ireland","Female","5","5"," "
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","17 and under","Northern Ireland","Female","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","17 and under","Northern Ireland","Female","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","17 and under","Northern Ireland","Female","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","17 and under","Northern Ireland","Female","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","17 and under","Northern Ireland","Female","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","17 and under","Northern Ireland","Female","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","17 and under","Northern Ireland","Female","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","17 and under","Northern Ireland","Female","5","0"," "
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","17 and under","Northern Ireland","Female","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH17) business and management","(CAH17-01-03) marketing","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH17) business and management","(CAH17-01-08) accounting","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH17) business and management","(CAH17-01-07) finance","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH17) business and management","(CAH17-01-07) finance","17 and under","Northern Ireland","Female","5","0"," "
"2020","(CAH15) social sciences","(CAH15-03-01) politics","17 and under","Northern Ireland","Female","5","5"," "
"2022","(CAH15) social sciences","(CAH15-03-01) politics","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH15) social sciences","(CAH15-02-01) economics","17 and under","Northern Ireland","Female","5","0"," "
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","17 and under","Northern Ireland","Female","5","0"," "
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","17 and under","Northern Ireland","Female","5","5"," "
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","17 and under","Northern Ireland","Female","5","5"," "
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","17 and under","Northern Ireland","Female","5","5"," "
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","17 and under","Northern Ireland","Female","5","0"," "
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","17 and under","Northern Ireland","Female","5","0"," "
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","17 and under","Northern Ireland","Female","10","0"," "
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","17 and under","Northern Ireland","Female","15","5"," "
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","17 and under","Northern Ireland","Female","5","5"," "
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","17 and under","Northern Ireland","Female","5","5"," "
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","17 and under","Northern Ireland","Female","5","0"," "
"2019","(CAH11) computing","(CAH11-01-01) computer science","17 and under","Northern Ireland","Female","5","5"," "
