"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1330"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1460"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1200"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1125"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1070"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1070"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1080"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","860"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","845"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","715"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","730"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","675"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","520"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","535"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","445"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","255"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","285"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","205"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","230"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","180"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","280"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","290"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","195"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","215"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","185"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","115"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","130"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","120"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","95"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","85"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","230"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","265"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","180"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","175"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","55"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","175"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","200"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","175"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","170"
