"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2019","(CAH25) design, and creative and performing arts","18","England","Female","4690","4580","1345","10615"
"2019","(CAH25) design, and creative and performing arts","18","Northern Ireland","Female","40","50","20","115"
"2019","(CAH25) design, and creative and performing arts","18","Wales","Female","140","400","45","585"
"2020","(CAH25) design, and creative and performing arts","18","England","Female","2600","6670","3545","12815"
"2020","(CAH25) design, and creative and performing arts","18","Northern Ireland","Female","20","70","80","170"
"2020","(CAH25) design, and creative and performing arts","18","Wales","Female","40","350","175","570"
"2021","(CAH25) design, and creative and performing arts","18","England","Female","0","6285","1470","7755"
"2021","(CAH25) design, and creative and performing arts","18","Northern Ireland","Female","0","65","25","90"
"2021","(CAH25) design, and creative and performing arts","18","Wales","Female","0","475","45","520"
"2022","(CAH25) design, and creative and performing arts","18","England","Female","300","8155","600","9055"
"2022","(CAH25) design, and creative and performing arts","18","Northern Ireland","Female","0","80","10","95"
"2022","(CAH25) design, and creative and performing arts","18","Wales","Female","5","395","35","435"
"2023","(CAH25) design, and creative and performing arts","18","England","Female","0","4985","1435","6425"
"2023","(CAH25) design, and creative and performing arts","18","Northern Ireland","Female","0","45","10","60"
"2023","(CAH25) design, and creative and performing arts","18","Wales","Female","0","260","50","310"
"2019","(CAH10) engineering and technology","18","England","Female","690","135","110","935"
"2019","(CAH10) engineering and technology","18","Northern Ireland","Female","15","5","5","25"
"2019","(CAH10) engineering and technology","18","Wales","Female","35","15","0","50"
"2020","(CAH10) engineering and technology","18","England","Female","170","310","280","760"
"2020","(CAH10) engineering and technology","18","Northern Ireland","Female","5","15","30","50"
"2020","(CAH10) engineering and technology","18","Wales","Female","5","10","20","30"
"2021","(CAH10) engineering and technology","18","England","Female","0","150","10","160"
"2021","(CAH10) engineering and technology","18","Northern Ireland","Female","0","5","0","10"
"2021","(CAH10) engineering and technology","18","Wales","Female","0","10","0","10"
"2022","(CAH10) engineering and technology","18","England","Female","35","185","40","260"
"2022","(CAH10) engineering and technology","18","Northern Ireland","Female","0","0","0","5"
"2022","(CAH10) engineering and technology","18","Wales","Female","0","5","0","5"
"2023","(CAH10) engineering and technology","18","England","Female","0","95","85","180"
"2023","(CAH10) engineering and technology","18","Wales","Female","0","5","0","5"
"2019","(CAH02) subjects allied to medicine","18","England","Female","2520","1030","575","4120"
"2019","(CAH02) subjects allied to medicine","18","Northern Ireland","Female","25","15","20","60"
"2019","(CAH02) subjects allied to medicine","18","Wales","Female","65","20","15","95"
"2020","(CAH02) subjects allied to medicine","18","England","Female","705","2025","1500","4230"
"2020","(CAH02) subjects allied to medicine","18","Northern Ireland","Female","0","20","130","150"
"2020","(CAH02) subjects allied to medicine","18","Wales","Female","15","45","75","135"
"2021","(CAH02) subjects allied to medicine","18","England","Female","0","760","90","850"
"2021","(CAH02) subjects allied to medicine","18","Northern Ireland","Female","0","15","0","15"
"2021","(CAH02) subjects allied to medicine","18","Wales","Female","0","55","5","60"
"2022","(CAH02) subjects allied to medicine","18","England","Female","185","1130","205","1515"
"2022","(CAH02) subjects allied to medicine","18","Northern Ireland","Female","0","20","5","25"
"2022","(CAH02) subjects allied to medicine","18","Wales","Female","0","35","10","40"
"2023","(CAH02) subjects allied to medicine","18","England","Female","0","645","185","835"
"2023","(CAH02) subjects allied to medicine","18","Northern Ireland","Female","0","5","5","10"
"2023","(CAH02) subjects allied to medicine","18","Wales","Female","0","10","0","10"
"2019","(CAH19) language and area studies","18","England","Female","4240","730","730","5700"
