"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2006","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2007","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2008","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2009","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2011","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2012","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2013","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2016","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2018","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","0.889"
"2021","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1"
"2022","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2023","Lower tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2018","Medium tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Medium tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2006","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001"
"2007","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","25","0.964"
"2008","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","1"
"2009","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","45","40","0.977"
"2010","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2011","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.867"
"2012","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","0.917"
"2013","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.9550000000000001"
"2014","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001"
"2015","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","15","0.895"
"2016","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1"
"2017","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.909"
"2018","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","25","25","1"
"2019","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","20","20","0.905"
"2020","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","30","30","0.966"
"2021","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.9410000000000001"
"2022","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","65","55","0.905"
"2023","Lower tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","60","55","0.883"
"2007","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2008","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2014","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2017","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2018","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","19","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
