"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","England","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","England","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2020","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.714"
"2021","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001"
"2022","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2023","Scotland","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.684"
"2019","Scotland","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.737"
"2020","Scotland","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.846"
