"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","England","England","21 - 24","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","15","10","0.769","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","20","15","0.714","0"
"2021","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","UK","Scotland","Scotland","21 - 24","Female","Not main scheme applicant","Not main scheme application","20","15","0.684","0"
"2022","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","30","25","0.793","0"
"2023","UK","Wales","Wales","21 - 24","Female","Not main scheme applicant","Not main scheme application","40","35","0.833","0"
"2019","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","25 - 29","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","20","15","0.737","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2021","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","UK","Scotland","Scotland","25 - 29","Female","Not main scheme applicant","Not main scheme application","20","15","0.889","0"
"2022","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","25","15","0.739","0"
