"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","Female","21 - 24","Northern Ireland","150","25","0.16"
"2020","Female","21 - 24","Northern Ireland","110","25","0.209"
"2021","Female","21 - 24","Northern Ireland","165","30","0.188"
"2022","Female","21 - 24","Northern Ireland","110","30","0.273"
"2023","Female","21 - 24","Northern Ireland","70","10","0.171"
"2019","Male","21 - 24","Northern Ireland","40","5"," "
"2020","Male","21 - 24","Northern Ireland","20","0"," "
"2021","Male","21 - 24","Northern Ireland","65","5"," "
"2022","Male","21 - 24","Northern Ireland","70","25","0.357"
"2023","Male","21 - 24","Northern Ireland","15","5"," "
"2019","Female","25 - 29","Northern Ireland","65","15","0.231"
"2020","Female","25 - 29","Northern Ireland","45","10"," "
"2021","Female","25 - 29","Northern Ireland","60","15","0.217"
"2022","Female","25 - 29","Northern Ireland","35","10","0.28600000000000003"
"2023","Female","25 - 29","Northern Ireland","40","5"," "
"2019","Male","25 - 29","Northern Ireland","30","5"," "
"2020","Male","25 - 29","Northern Ireland","20","0"," "
"2021","Male","25 - 29","Northern Ireland","30","5"," "
"2022","Male","25 - 29","Northern Ireland","10","5"," "
"2023","Male","25 - 29","Northern Ireland","10","5"," "
"2019","Female","30 - 34","Northern Ireland","5","0"," "
"2020","Female","30 - 34","Northern Ireland","5","0"," "
"2021","Female","30 - 34","Northern Ireland","10","0"," "
"2022","Female","30 - 34","Northern Ireland","10","0"," "
"2023","Female","30 - 34","Northern Ireland","5","0"," "
"2020","Male","30 - 34","Northern Ireland","10","0"," "
"2021","Male","30 - 34","Northern Ireland","10","0"," "
"2022","Male","30 - 34","Northern Ireland","10","5"," "
"2023","Male","30 - 34","Northern Ireland","5","0"," "
"2019","Female","35 and over","Northern Ireland","10","0"," "
"2020","Female","35 and over","Northern Ireland","5","0"," "
"2021","Female","35 and over","Northern Ireland","5","0"," "
"2022","Female","35 and over","Northern Ireland","5","0"," "
"2023","Female","35 and over","Northern Ireland","5","0"," "
"2021","Male","35 and over","Northern Ireland","5","5"," "
"2022","Male","35 and over","Northern Ireland","10","5"," "
"2023","Male","35 and over","Northern Ireland","5","0"," "
"2020","Female","18","England","5","0"," "
"2022","Female","18","England","5","0"," "
"2023","Male","18","England","5","0"," "
"2019","Female","21 - 24","England","145","45","0.297"
"2020","Female","21 - 24","England","85","20","0.23500000000000001"
"2021","Female","21 - 24","England","200","50","0.255"
"2022","Female","21 - 24","England","225","95","0.431"
"2023","Female","21 - 24","England","185","80","0.427"
"2019","Male","21 - 24","England","50","10","0.24"
"2020","Male","21 - 24","England","45","10","0.244"
"2021","Male","21 - 24","England","55","10","0.182"
"2022","Male","21 - 24","England","110","35","0.3"
"2023","Male","21 - 24","England","80","40","0.47500000000000003"
"2019","Female","25 - 29","England","45","10","0.244"
"2020","Female","25 - 29","England","60","15","0.28300000000000003"
"2021","Female","25 - 29","England","110","25","0.23600000000000002"
"2022","Female","25 - 29","England","75","10","0.16"
"2023","Female","25 - 29","England","40","15","0.425"
"2019","Male","25 - 29","England","35","10","0.314"
"2020","Male","25 - 29","England","30","5"," "
"2021","Male","25 - 29","England","30","10","0.367"
"2022","Male","25 - 29","England","40","10"," "
"2023","Male","25 - 29","England","30","10","0.333"
"2019","Female","30 - 34","England","25","5"," "
"2020","Female","30 - 34","England","20","10"," "
"2021","Female","30 - 34","England","35","5"," "
"2022","Female","30 - 34","England","35","5"," "
"2023","Female","30 - 34","England","10","5"," "
"2019","Male","30 - 34","England","10","5"," "
"2020","Male","30 - 34","England","25","10","0.44"
"2021","Male","30 - 34","England","25","0"," "
"2022","Male","30 - 34","England","15","5"," "
"2023","Male","30 - 34","England","20","5"," "
"2019","Female","35 and over","England","30","5"," "
"2020","Female","35 and over","England","15","10"," "
"2021","Female","35 and over","England","30","15","0.433"
"2022","Female","35 and over","England","20","10"," "
"2023","Female","35 and over","England","10","5"," "
"2019","Male","35 and over","England","10","0"," "
"2020","Male","35 and over","England","10","0"," "
"2021","Male","35 and over","England","15","5"," "
"2022","Male","35 and over","England","5","0"," "
"2023","Male","35 and over","England","10","5"," "
"2019","Female","18","Scotland","15","0"," "
"2020","Female","18","Scotland","25","0"," "
"2021","Female","18","Scotland","15","0"," "
"2022","Female","18","Scotland","20","0"," "
"2023","Female","18","Scotland","20","0"," "
