"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Lower tariff","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.75"
"2021","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","15","0.929"
"2022","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Higher tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.706"
"2020","Medium tariff","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.737"
"2020","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","25","20","0.87"
"2021","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2023","Higher tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.889"
"2020","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Higher tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2019","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2020","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","20","10","0.611"
"2021","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10","10","0.833"
"2022","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2023","Higher tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2019","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Medium tariff","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2023","Lower tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.789"
"2022","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.8"
"2023","Medium tariff","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.87"
"2022","Lower tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","Lower tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2023","Medium tariff","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Lower tariff","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
