"Entry year","Region of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2007 - 2008","Northern Ireland","17 and under","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2006 - 2007","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","230"
"2006 - 2007","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","North East","18","Northern Ireland","Female","Not main scheme application","20"
"2006 - 2007","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","North West","18","Northern Ireland","Female","Not main scheme application","65"
"2007 - 2008","London","18","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2007 - 2008","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","265"
"2007 - 2008","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2007 - 2008","North East","18","Northern Ireland","Female","Not main scheme application","20"
"2007 - 2008","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","North West","18","Northern Ireland","Female","Not main scheme application","55"
"2008 - 2009","London","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Scotland","18","Northern Ireland","Female","Not main scheme application","50"
"2008 - 2009","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","260"
"2008 - 2009","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","North East","18","Northern Ireland","Female","Not main scheme application","25"
"2008 - 2009","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","North West","18","Northern Ireland","Female","Not main scheme application","55"
"2009 - 2010","London","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Scotland","18","Northern Ireland","Female","Not main scheme application","35"
"2009 - 2010","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2009 - 2010","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","285"
"2009 - 2010","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","North East","18","Northern Ireland","Female","Not main scheme application","25"
"2009 - 2010","North West","18","Northern Ireland","Female","Not main scheme application","55"
"2010 - 2011","London","18","Northern Ireland","Female","Not main scheme application","15"
"2010 - 2011","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Scotland","18","Northern Ireland","Female","Not main scheme application","25"
"2010 - 2011","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2010 - 2011","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","165"
"2010 - 2011","East of England","18","Northern Ireland","Female","Not main scheme application","10"
"2010 - 2011","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","North East","18","Northern Ireland","Female","Not main scheme application","25"
"2010 - 2011","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","North West","18","Northern Ireland","Female","Not main scheme application","85"
"2011 - 2012","London","18","Northern Ireland","Female","Not main scheme application","30"
"2011 - 2012","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","Scotland","18","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","Wales","18","Northern Ireland","Female","Not main scheme application","30"
"2011 - 2012","West Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","165"
"2011 - 2012","East of England","18","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","North West","18","Northern Ireland","Female","Not main scheme application","95"
"2012 - 2013","London","18","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","South East","18","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","Scotland","18","Northern Ireland","Female","Not main scheme application","60"
"2012 - 2013","Wales","18","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","West Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","200"
"2012 - 2013","East of England","18","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","South West","18","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","North East","18","Northern Ireland","Female","Not main scheme application","25"
"2012 - 2013","East Midlands","18","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","North West","18","Northern Ireland","Female","Not main scheme application","80"
"2013 - 2014","London","18","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","South East","18","Northern Ireland","Female","Not main scheme application","5"
