"Entry year","Tariff group of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2007 - 2008","Medium tariff","17 and under","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Lower tariff","17 and under","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Lower tariff","18","Northern Ireland","Female","Not main scheme application","230"
"2006 - 2007","Higher tariff","18","Northern Ireland","Female","Not main scheme application","40"
"2006 - 2007","Medium tariff","18","Northern Ireland","Female","Not main scheme application","130"
"2007 - 2008","Lower tariff","18","Northern Ireland","Female","Not main scheme application","260"
"2007 - 2008","Higher tariff","18","Northern Ireland","Female","Not main scheme application","30"
"2007 - 2008","Medium tariff","18","Northern Ireland","Female","Not main scheme application","115"
"2008 - 2009","Lower tariff","18","Northern Ireland","Female","Not main scheme application","245"
"2008 - 2009","Higher tariff","18","Northern Ireland","Female","Not main scheme application","55"
"2008 - 2009","Medium tariff","18","Northern Ireland","Female","Not main scheme application","125"
"2009 - 2010","Lower tariff","18","Northern Ireland","Female","Not main scheme application","275"
"2009 - 2010","Higher tariff","18","Northern Ireland","Female","Not main scheme application","35"
"2009 - 2010","Medium tariff","18","Northern Ireland","Female","Not main scheme application","125"
"2010 - 2011","Lower tariff","18","Northern Ireland","Female","Not main scheme application","230"
"2010 - 2011","Higher tariff","18","Northern Ireland","Female","Not main scheme application","30"
"2010 - 2011","Medium tariff","18","Northern Ireland","Female","Not main scheme application","110"
"2011 - 2012","Lower tariff","18","Northern Ireland","Female","Not main scheme application","260"
"2011 - 2012","Higher tariff","18","Northern Ireland","Female","Not main scheme application","15"
"2011 - 2012","Medium tariff","18","Northern Ireland","Female","Not main scheme application","125"
"2012 - 2013","Lower tariff","18","Northern Ireland","Female","Not main scheme application","240"
"2012 - 2013","Higher tariff","18","Northern Ireland","Female","Not main scheme application","40"
"2012 - 2013","Medium tariff","18","Northern Ireland","Female","Not main scheme application","175"
"2013 - 2014","Lower tariff","18","Northern Ireland","Female","Not main scheme application","260"
"2013 - 2014","Higher tariff","18","Northern Ireland","Female","Not main scheme application","45"
"2013 - 2014","Medium tariff","18","Northern Ireland","Female","Not main scheme application","105"
"2014 - 2015","Lower tariff","18","Northern Ireland","Female","Not main scheme application","230"
"2014 - 2015","Higher tariff","18","Northern Ireland","Female","Not main scheme application","45"
"2014 - 2015","Medium tariff","18","Northern Ireland","Female","Not main scheme application","115"
"2015 - 2016","Lower tariff","18","Northern Ireland","Female","Not main scheme application","220"
"2015 - 2016","Higher tariff","18","Northern Ireland","Female","Not main scheme application","65"
"2015 - 2016","Medium tariff","18","Northern Ireland","Female","Not main scheme application","135"
"2016 - 2017","Lower tariff","18","Northern Ireland","Female","Not main scheme application","250"
"2016 - 2017","Higher tariff","18","Northern Ireland","Female","Not main scheme application","60"
"2016 - 2017","Medium tariff","18","Northern Ireland","Female","Not main scheme application","155"
"2017 - 2018","Lower tariff","18","Northern Ireland","Female","Not main scheme application","280"
"2017 - 2018","Higher tariff","18","Northern Ireland","Female","Not main scheme application","65"
"2017 - 2018","Medium tariff","18","Northern Ireland","Female","Not main scheme application","165"
"2018 - 2019","Lower tariff","18","Northern Ireland","Female","Not main scheme application","245"
"2018 - 2019","Higher tariff","18","Northern Ireland","Female","Not main scheme application","45"
"2018 - 2019","Medium tariff","18","Northern Ireland","Female","Not main scheme application","210"
"2019 - 2020","Lower tariff","18","Northern Ireland","Female","Not main scheme application","290"
"2019 - 2020","Higher tariff","18","Northern Ireland","Female","Not main scheme application","50"
"2019 - 2020","Medium tariff","18","Northern Ireland","Female","Not main scheme application","155"
"2020 - 2021","Lower tariff","18","Northern Ireland","Female","Not main scheme application","225"
"2020 - 2021","Higher tariff","18","Northern Ireland","Female","Not main scheme application","85"
"2020 - 2021","Medium tariff","18","Northern Ireland","Female","Not main scheme application","240"
"2021 - 2022","Lower tariff","18","Northern Ireland","Female","Not main scheme application","370"
"2021 - 2022","Higher tariff","18","Northern Ireland","Female","Not main scheme application","55"
"2021 - 2022","Medium tariff","18","Northern Ireland","Female","Not main scheme application","165"
"2022 - 2023","Lower tariff","18","Northern Ireland","Female","Not main scheme application","425"
"2022 - 2023","Higher tariff","18","Northern Ireland","Female","Not main scheme application","50"
"2022 - 2023","Medium tariff","18","Northern Ireland","Female","Not main scheme application","160"
"2023 - 2024","Lower tariff","18","Northern Ireland","Female","Not main scheme application","365"
"2023 - 2024","Higher tariff","18","Northern Ireland","Female","Not main scheme application","40"
"2023 - 2024","Medium tariff","18","Northern Ireland","Female","Not main scheme application","180"
"2006 - 2007","Lower tariff","19","Northern Ireland","Female","Not main scheme application","75"
"2006 - 2007","Medium tariff","19","Northern Ireland","Female","Not main scheme application","35"
"2007 - 2008","Lower tariff","19","Northern Ireland","Female","Not main scheme application","85"
"2007 - 2008","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2007 - 2008","Medium tariff","19","Northern Ireland","Female","Not main scheme application","35"
"2008 - 2009","Lower tariff","19","Northern Ireland","Female","Not main scheme application","85"
"2008 - 2009","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2008 - 2009","Medium tariff","19","Northern Ireland","Female","Not main scheme application","35"
"2009 - 2010","Lower tariff","19","Northern Ireland","Female","Not main scheme application","90"
"2009 - 2010","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Medium tariff","19","Northern Ireland","Female","Not main scheme application","20"
"2010 - 2011","Lower tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2010 - 2011","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Medium tariff","19","Northern Ireland","Female","Not main scheme application","30"
"2011 - 2012","Lower tariff","19","Northern Ireland","Female","Not main scheme application","80"
"2011 - 2012","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Medium tariff","19","Northern Ireland","Female","Not main scheme application","20"
"2012 - 2013","Lower tariff","19","Northern Ireland","Female","Not main scheme application","65"
"2012 - 2013","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Medium tariff","19","Northern Ireland","Female","Not main scheme application","40"
"2013 - 2014","Lower tariff","19","Northern Ireland","Female","Not main scheme application","105"
"2013 - 2014","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","Medium tariff","19","Northern Ireland","Female","Not main scheme application","45"
"2014 - 2015","Lower tariff","19","Northern Ireland","Female","Not main scheme application","95"
"2014 - 2015","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2014 - 2015","Medium tariff","19","Northern Ireland","Female","Not main scheme application","40"
"2015 - 2016","Lower tariff","19","Northern Ireland","Female","Not main scheme application","85"
"2015 - 2016","Higher tariff","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Medium tariff","19","Northern Ireland","Female","Not main scheme application","30"
"2016 - 2017","Lower tariff","19","Northern Ireland","Female","Not main scheme application","100"
"2016 - 2017","Higher tariff","19","Northern Ireland","Female","Not main scheme application","20"
"2016 - 2017","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2017 - 2018","Lower tariff","19","Northern Ireland","Female","Not main scheme application","120"
"2017 - 2018","Higher tariff","19","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2018 - 2019","Lower tariff","19","Northern Ireland","Female","Not main scheme application","105"
"2018 - 2019","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2018 - 2019","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2019 - 2020","Lower tariff","19","Northern Ireland","Female","Not main scheme application","120"
"2019 - 2020","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2019 - 2020","Medium tariff","19","Northern Ireland","Female","Not main scheme application","55"
"2020 - 2021","Lower tariff","19","Northern Ireland","Female","Not main scheme application","110"
"2020 - 2021","Higher tariff","19","Northern Ireland","Female","Not main scheme application","15"
"2020 - 2021","Medium tariff","19","Northern Ireland","Female","Not main scheme application","50"
"2021 - 2022","Lower tariff","19","Northern Ireland","Female","Not main scheme application","130"
