"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2022"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 9009 lines in total
------------------------------------------------------------------
tariff_band,Cycle,statistic,equality_dimension,agegroup,value
Higher tariff providers,2010,June deadline applicants,Total,18 year olds,154455
Higher tariff providers,2010,June deadline applicants,White ethnic group,18 year olds,128310
Higher tariff providers,2010,June deadline applicants,Black ethnic group,18 year olds,4275
Higher tariff providers,2010,June deadline applicants,Asian ethnic group,18 year olds,14860
Higher tariff providers,2010,June deadline applicants,Mixed ethnic group,18 year olds,4730
Higher tariff providers,2010,June deadline applicants,Other ethnic group,18 year olds,1210
Higher tariff providers,2010,June deadline applicants,POLAR4 Q1,18 year olds,11420
Higher tariff providers,2010,June deadline applicants,POLAR4 Q2,18 year olds,18975
Higher tariff providers,2010,June deadline applicants,POLAR4 Q3,18 year olds,26660
Higher tariff providers,2010,June deadline applicants,POLAR4 Q4,18 year olds,35375
Higher tariff providers,2010,June deadline applicants,POLAR4 Q5,18 year olds,61765
Higher tariff providers,2010,June deadline applicants,Men,18 year olds,70140
Higher tariff providers,2010,June deadline applicants,Women,18 year olds,84315
Higher tariff providers,2011,June deadline applicants,Total,18 year olds,148355
Higher tariff providers,2011,June deadline applicants,White ethnic group,18 year olds,121910
Higher tariff providers,2011,June deadline applicants,Black ethnic group,18 year olds,4435
Higher tariff providers,2011,June deadline applicants,Asian ethnic group,18 year olds,14640
Higher tariff providers,2011,June deadline applicants,Mixed ethnic group,18 year olds,5125
Higher tariff providers,2011,June deadline applicants,Other ethnic group,18 year olds,1270
Higher tariff providers,2011,June deadline applicants,POLAR4 Q1,18 year olds,10875
Higher tariff providers,2011,June deadline applicants,POLAR4 Q2,18 year olds,18200
Higher tariff providers,2011,June deadline applicants,POLAR4 Q3,18 year olds,25105
Higher tariff providers,2011,June deadline applicants,POLAR4 Q4,18 year olds,34205
Higher tariff providers,2011,June deadline applicants,POLAR4 Q5,18 year olds,59725
Higher tariff providers,2011,June deadline applicants,Men,18 year olds,67465
Higher tariff providers,2011,June deadline applicants,Women,18 year olds,80890
Higher tariff providers,2012,June deadline applicants,Total,18 year olds,144470
Higher tariff providers,2012,June deadline applicants,White ethnic group,18 year olds,117960
Higher tariff providers,2012,June deadline applicants,Black ethnic group,18 year olds,4415
Higher tariff providers,2012,June deadline applicants,Asian ethnic group,18 year olds,14625
Higher tariff providers,2012,June deadline applicants,Mixed ethnic group,18 year olds,5125
Higher tariff providers,2012,June deadline applicants,Other ethnic group,18 year olds,1470
Higher tariff providers,2012,June deadline applicants,POLAR4 Q1,18 year olds,10540
Higher tariff providers,2012,June deadline applicants,POLAR4 Q2,18 year olds,17755
Higher tariff providers,2012,June deadline applicants,POLAR4 Q3,18 year olds,24385
Higher tariff providers,2012,June deadline applicants,POLAR4 Q4,18 year olds,32800
Higher tariff providers,2012,June deadline applicants,POLAR4 Q5,18 year olds,58770
Higher tariff providers,2012,June deadline applicants,Men,18 year olds,65100
Higher tariff providers,2012,June deadline applicants,Women,18 year olds,79375
Higher tariff providers,2013,June deadline applicants,Total,18 year olds,146955
Higher tariff providers,2013,June deadline applicants,White ethnic group,18 year olds,118500
Higher tariff providers,2013,June deadline applicants,Black ethnic group,18 year olds,5235
Higher tariff providers,2013,June deadline applicants,Asian ethnic group,18 year olds,15495
Higher tariff providers,2013,June deadline applicants,Mixed ethnic group,18 year olds,5440
Higher tariff providers,2013,June deadline applicants,Other ethnic group,18 year olds,1515
Higher tariff providers,2013,June deadline applicants,POLAR4 Q1,18 year olds,11050
Higher tariff providers,2013,June deadline applicants,POLAR4 Q2,18 year olds,18155
Higher tariff providers,2013,June deadline applicants,POLAR4 Q3,18 year olds,25095
Higher tariff providers,2013,June deadline applicants,POLAR4 Q4,18 year olds,33300
Higher tariff providers,2013,June deadline applicants,POLAR4 Q5,18 year olds,59170
Higher tariff providers,2013,June deadline applicants,Men,18 year olds,66280
Higher tariff providers,2013,June deadline applicants,Women,18 year olds,80675
Higher tariff providers,2014,June deadline applicants,Total,18 year olds,151690
Higher tariff providers,2014,June deadline applicants,White ethnic group,18 year olds,120675
Higher tariff providers,2014,June deadline applicants,Black ethnic group,18 year olds,5865
Higher tariff providers,2014,June deadline applicants,Asian ethnic group,18 year olds,16695
Higher tariff providers,2014,June deadline applicants,Mixed ethnic group,18 year olds,5905
