ingested_at,source_project,language_code,file_name
2025-01-01 10:00:00,ga,ga,gaeilge_book_1.txt
2025-01-01 11:00:00,ga,ga,gaeilge_book_2.txt
2025-01-01 12:00:00,ga,ga,gaeilge_book_3.txt
2025-01-01 13:00:00,gd,gd,ghaidhlig_book_1.txt
2025-01-01 14:00:00,gd,gd,ghaidhlig_book_2.txt
2025-01-01 15:00:00,cy,cy,cymraeg_book_1.txt
2025-01-01 16:00:00,cy,cy,cymraeg_book_2.txt
2025-01-01 17:00:00,gv,gv,gaelg_book_1.txt
2025-01-01 18:00:00,kw,kw,kernowek_book_1.txt
2025-01-01 19:00:00,br,br,brezhoneg_book_1.txt
2025-01-02 09:00:00,en,en,english_book_1.txt
2025-01-02 10:00:00,en,en,english_book_2.txt
2025-01-02 11:00:00,ga,ga,gaeilge_book_4.txt
2025-01-02 12:00:00,gd,gd,ghaidhlig_book_3.txt
2025-01-02 13:00:00,cy,cy,cymraeg_book_3.txt
2025-01-02 14:00:00,gv,gv,gaelg_book_2.txt
2025-01-02 15:00:00,kw,kw,kernowek_book_2.txt
2025-01-02 16:00:00,br,br,brezhoneg_book_2.txt
2025-01-03 09:00:00,ga,ga,gaeilge_book_5.txt
2025-01-03 10:00:00,gd,gd,ghaidhlig_book_4.txt
2025-01-03 11:00:00,cy,cy,cymraeg_book_4.txt
2025-01-03 12:00:00,gv,gv,gaelg_book_3.txt
2025-01-03 13:00:00,kw,kw,kernowek_book_3.txt
2025-01-03 14:00:00,br,br,brezhoneg_book_3.txt
2025-01-03 15:00:00,en,en,english_book_3.txt
2025-01-04 09:00:00,ga,ga,gaeilge_book_6.txt
2025-01-04 10:00:00,gd,gd,ghaidhlig_book_5.txt
2025-01-04 11:00:00,cy,cy,cymraeg_book_5.txt
2025-01-04 12:00:00,gv,gv,gaelg_book_4.txt
2025-01-04 13:00:00,kw,kw,kernowek_book_4.txt
2025-01-04 14:00:00,br,br,brezhoneg_book_4.txt
2025-01-05 09:00:00,ga,ga,gaeilge_book_7.txt
2025-01-05 10:00:00,gd,gd,ghaidhlig_book_6.txt
2025-01-05 11:00:00,cy,cy,cymraeg_book_6.txt
2025-01-05 12:00:00,gv,gv,gaelg_book_5.txt
2025-01-05 13:00:00,kw,kw,kernowek_book_5.txt
2025-01-05 14:00:00,br,br,brezhoneg_book_5.txt
2025-01-05 15:00:00,en,en,english_book_4.txt
2025-01-06 09:00:00,ga,ga,gaeilge_book_8.txt
2025-01-06 10:00:00,gd,gd,ghaidhlig_book_7.txt
2025-01-06 11:00:00,cy,cy,cymraeg_book_7.txt
2025-01-06 12:00:00,gv,gv,gaelg_book_6.txt
2025-01-06 13:00:00,kw,kw,kernowek_book_6.txt
2025-01-06 14:00:00,br,br,brezhoneg_book_6.txt
2025-01-06 15:00:00,en,en,english_book_5.txt
2025-01-07 09:00:00,ga,ga,gaeilge_book_9.txt
2025-01-07 10:00:00,gd,gd,ghaidhlig_book_8.txt
2025-01-07 11:00:00,cy,cy,cymraeg_book_8.txt
2025-01-07 12:00:00,gv,gv,gaelg_book_7.txt
2025-01-07 13:00:00,kw,kw,kernowek_book_7.txt
2025-01-07 14:00:00,br,br,brezhoneg_book_7.txt
2025-01-07 15:00:00,en,en,english_book_6.txt
2025-01-08 09:00:00,ga,ga,gaeilge_book_10.txt
2025-01-08 10:00:00,gd,gd,ghaidhlig_book_9.txt
2025-01-08 11:00:00,cy,cy,cymraeg_book_9.txt
2025-01-08 12:00:00,gv,gv,gaelg_book_8.txt
2025-01-08 13:00:00,kw,kw,kernowek_book_8.txt
2025-01-08 14:00:00,br,br,brezhoneg_book_8.txt
2025-01-08 15:00:00,en,en,english_book_7.txt
2025-01-09 09:00:00,ga,ga,gaeilge_book_11.txt
2025-01-09 10:00:00,gd,gd,ghaidhlig_book_10.txt
2025-01-09 11:00:00,cy,cy,cymraeg_book_10.txt
2025-01-09 12:00:00,gv,gv,gaelg_book_9.txt
2025-01-09 13:00:00,kw,kw,kernowek_book_9.txt
2025-01-09 14:00:00,br,br,brezhoneg_book_9.txt
2025-01-09 15:00:00,en,en,english_book_8.txt
2025-01-10 09:00:00,ga,ga,gaeilge_book_12.txt
2025-01-10 10:00:00,gd,gd,ghaidhlig_book_11.txt
2025-01-10 11:00:00,cy,cy,cymraeg_book_11.txt
2025-01-10 12:00:00,gv,gv,gaelg_book_10.txt
2025-01-10 13:00:00,kw,kw,kernowek_book_10.txt
2025-01-10 14:00:00,br,br,brezhoneg_book_10.txt
2025-01-10 15:00:00,en,en,english_book_9.txt
2025-01-11 09:00:00,ga,ga,gaeilge_book_13.txt
2025-01-11 10:00:00,gd,gd,ghaidhlig_book_12.txt
2025-01-11 11:00:00,cy,cy,cymraeg_book_12.txt
2025-01-11 12:00:00,gv,gv,gaelg_book_11.txt
2025-01-11 13:00:00,kw,kw,kernowek_book_11.txt
2025-01-11 14:00:00,br,br,brezhoneg_book_11.txt
2025-01-11 15:00:00,en,en,english_book_10.txt
2025-01-12 09:00:00,ga,ga,gaeilge_book_14.txt
2025-01-12 10:00:00,gd,gd,ghaidhlig_book_13.txt
2025-01-12 11:00:00,cy,cy,cymraeg_book_13.txt
2025-01-12 12:00:00,gv,gv,gaelg_book_12.txt
2025-01-12 13:00:00,kw,kw,kernowek_book_12.txt
2025-01-12 14:00:00,br,br,brezhoneg_book_12.txt
2025-01-12 15:00:00,en,en,english_book_11.txt
2025-01-13 09:00:00,ga,ga,gaeilge_book_15.txt
2025-01-13 10:00:00,gd,gd,ghaidhlig_book_14.txt
2025-01-13 11:00:00,cy,cy,cymraeg_book_14.txt
2025-01-13 12:00:00,gv,gv,gaelg_book_13.txt
2025-01-13 13:00:00,kw,kw,kernowek_book_13.txt
2025-01-13 14:00:00,br,br,brezhoneg_book_13.txt
2025-01-13 15:00:00,en,en,english_book_12.txt
2025-01-14 09:00:00,ga,ga,gaeilge_book_16.txt
2025-01-14 10:00:00,gd,gd,ghaidhlig_book_15.txt
2025-01-14 11:00:00,cy,cy,cymraeg_book_15.txt
2025-01-14 12:00:00,gv,gv,gaelg_book_14.txt
2025-01-14 13:00:00,kw,kw,kernowek_book_14.txt
2025-01-14 14:00:00,br,br,brezhoneg_book_14.txt
2025-01-14 15:00:00,en,en,english_book_13.txt
