materialization_time,partition_ts,ocr_model,document_id,baml_confidence,ocr_wer
2025-01-15 10:00:00,2025-01-15 09:59:55,pylaia,doc-001,0.92,0.05
2025-01-15 10:00:01,2025-01-15 10:00:00,trocr,doc-001,0.89,0.08
2025-01-15 10:00:02,2025-01-15 10:00:01,paddleocr,doc-001,0.85,0.12
2025-01-15 10:00:03,2025-01-15 10:00:02,tesseract,doc-001,0.78,0.18
2025-01-15 10:00:04,2025-01-15 10:00:03,dots_ocr,doc-001,0.91,0.06
2025-01-15 10:00:05,2025-01-15 10:00:04,qwen2_vl,doc-001,0.95,0.03
2025-01-15 10:00:06,2025-01-15 10:00:05,phi3_vision,doc-001,0.88,0.10
2025-01-15 10:00:07,2025-01-15 10:00:06,paligemma,doc-001,0.82,0.15
2025-01-15 10:00:08,2025-01-15 10:00:07,llava,doc-001,0.86,0.11
2025-01-15 10:00:09,2025-01-15 10:00:08,gemma_vision,doc-001,0.84,0.13
2025-01-15 11:00:00,2025-01-15 10:59:55,pylaia,doc-002,0.91,0.06
2025-01-15 11:00:01,2025-01-15 11:00:00,trocr,doc-002,0.87,0.09
2025-01-15 11:00:02,2025-01-15 11:00:01,paddleocr,doc-002,0.83,0.14
2025-01-15 11:00:03,2025-01-15 11:00:02,tesseract,doc-002,0.76,0.20
2025-01-15 11:00:04,2025-01-15 11:00:03,dots_ocr,doc-002,0.90,0.07
2025-01-15 11:00:05,2025-01-15 11:00:04,qwen2_vl,doc-002,0.94,0.04
2025-01-15 11:00:06,2025-01-15 11:00:05,phi3_vision,doc-002,0.86,0.11
2025-01-15 11:00:07,2025-01-15 11:00:06,paligemma,doc-002,0.80,0.16
2025-01-15 11:00:08,2025-01-15 11:00:07,llava,doc-002,0.85,0.12
2025-01-15 11:00:09,2025-01-15 11:00:08,gemma_vision,doc-002,0.83,0.14
2025-01-15 12:00:00,2025-01-15 11:59:55,pylaia,doc-003,0.93,0.04
2025-01-15 12:00:01,2025-01-15 12:00:00,trocr,doc-003,0.90,0.07
2025-01-15 12:00:02,2025-01-15 12:00:01,paddleocr,doc-003,0.87,0.10
2025-01-15 12:00:03,2025-01-15 12:00:02,tesseract,doc-003,0.80,0.17
2025-01-15 12:00:04,2025-01-15 12:00:03,dots_ocr,doc-003,0.92,0.05
2025-01-15 12:00:05,2025-01-15 12:00:04,qwen2_vl,doc-003,0.96,0.02
2025-01-15 12:00:06,2025-01-15 12:00:05,phi3_vision,doc-003,0.89,0.08
2025-01-15 12:00:07,2025-01-15 12:00:06,paligemma,doc-003,0.84,0.13
2025-01-15 12:00:08,2025-01-15 12:00:07,llava,doc-003,0.88,0.09
2025-01-15 12:00:09,2025-01-15 12:00:08,gemma_vision,doc-003,0.85,0.12
2025-01-16 10:00:00,2025-01-16 09:59:55,pylaia,doc-004,0.90,0.07
2025-01-16 10:00:01,2025-01-16 10:00:00,trocr,doc-004,0.86,0.10
2025-01-16 10:00:02,2025-01-16 10:00:01,paddleocr,doc-004,0.82,0.15
2025-01-16 10:00:03,2025-01-16 10:00:02,tesseract,doc-004,0.75,0.22
2025-01-16 10:00:04,2025-01-16 10:00:03,dots_ocr,doc-004,0.89,0.08
2025-01-16 10:00:05,2025-01-16 10:00:04,qwen2_vl,doc-004,0.93,0.04
2025-01-16 10:00:06,2025-01-16 10:00:05,phi3_vision,doc-004,0.85,0.12
2025-01-16 10:00:07,2025-01-16 10:00:06,paligemma,doc-004,0.79,0.18
2025-01-16 10:00:08,2025-01-16 10:00:07,llava,doc-004,0.83,0.14
2025-01-16 10:00:09,2025-01-16 10:00:08,gemma_vision,doc-004,0.82,0.15
2025-01-16 11:00:00,2025-01-16 10:59:55,pylaia,doc-005,0.92,0.05
2025-01-16 11:00:01,2025-01-16 11:00:00,trocr,doc-005,0.88,0.09
2025-01-16 11:00:02,2025-01-16 11:00:01,paddleocr,doc-005,0.84,0.13
2025-01-16 11:00:03,2025-01-16 11:00:02,tesseract,doc-005,0.77,0.19
2025-01-16 11:00:04,2025-01-16 11:00:03,dots_ocr,doc-005,0.91,0.06
2025-01-16 11:00:05,2025-01-16 11:00:04,qwen2_vl,doc-005,0.95,0.03
2025-01-16 11:00:06,2025-01-16 11:00:05,phi3_vision,doc-005,0.87,0.10
2025-01-16 11:00:07,2025-01-16 11:00:06,paligemma,doc-005,0.81,0.16
2025-01-16 11:00:08,2025-01-16 11:00:07,llava,doc-005,0.85,0.12
2025-01-16 11:00:09,2025-01-16 11:00:08,gemma_vision,doc-005,0.84,0.13
