ingested_at,arxiv_id,title,project
2025-01-02 10:00:00,2501.01234,Attention Is All You Need Revisited,irish-nlp
2025-01-02 11:00:00,2501.02345,BPE Tokenizers for Low-Resource Celtic Languages,irish-nlp
2025-01-02 12:00:00,2501.03456,Gaelic OCR with Transformer Decoders,ocr-comparison
2025-01-02 13:00:00,2501.04567,Manx Bunscoill Ghaelgagh: A Case Study,celtic-language
2025-01-02 14:00:00,2501.05678,Cornish Revitalization Through Embeddings,celtic-language
2025-01-02 15:00:00,2501.06789,Breton NER with BGE-M3,celtic-language
2025-01-02 16:00:00,2501.07890,Welsh Speech Recognition with Whisper,celtic-language
2025-01-02 17:00:00,2501.08901,Scottish Gaelic Dialect Classification,irish-nlp
2025-01-02 18:00:00,2501.09012,Cross-Lingual Transfer for Irish NLP,irish-nlp
2025-01-02 19:00:00,2501.10123,Curriculum Knowledge Graph Construction,curriculum
